trade_date_year_mo,delivery_year_mo,weighted_avg_price,total_transacted_quantity
2023-02,2021-12,,
2023-03,2021-12,,
2023-04,2021-12,,
2023-05,2021-12,,
2023-06,2021-12,,
2023-07,2021-12,,
2023-08,2021-12,,
2023-09,2021-12,,
2023-10,2021-12,,
2023-11,2021-12,,
2023-12,2021-12,,
2024-01,2021-12,,
2024-02,2021-12,,
2024-03,2021-12,,
2024-04,2021-12,,
2024-05,2021-12,,
2024-06,2021-12,,
2024-07,2021-12,,
2024-08,2021-12,,
2024-09,2021-12,,
2024-10,2021-12,,
2024-11,2021-12,,
2024-12,2021-12,,
2013-01,2022-04,,
2013-02,2022-04,,
2013-03,2022-04,,
2013-04,2022-04,,
2013-05,2022-04,,
2013-06,2022-04,,
2013-07,2022-04,,
2013-08,2022-04,,
2013-09,2022-04,,
2013-10,2022-04,,
2013-11,2022-04,,
2013-12,2022-04,3.64,212.1
2014-01,2022-04,,
2014-02,2022-04,,
2014-03,2022-04,,
2014-04,2022-04,,
2014-05,2022-04,,
2014-06,2022-04,,
2014-07,2022-04,,
2014-08,2022-04,,
2014-09,2022-04,,
2014-10,2022-04,3.3333333,64.0
2014-11,2022-04,,
2014-12,2022-04,,
2015-01,2022-04,,
2015-02,2022-04,,
2015-03,2022-04,,
2015-04,2022-04,,
2015-05,2022-04,,
2015-06,2022-04,11.4463,527.5
2015-07,2022-04,,
2015-08,2022-04,,
2015-09,2022-04,,
2015-10,2022-04,6.39,130.0
2015-11,2022-04,,
2015-12,2022-04,,
2016-01,2022-04,,
2016-02,2022-04,,
2016-03,2022-04,,
2016-04,2022-04,,
2016-05,2022-04,,
2016-06,2022-04,,
2016-07,2022-04,,
2016-08,2022-04,,
2016-09,2022-04,13.23,15.0
2016-10,2022-04,,
2016-11,2022-04,,
2016-12,2022-04,,
2017-01,2022-04,,
2017-02,2022-04,,
2017-03,2022-04,,
2017-04,2022-04,,
2017-05,2022-04,,
2017-06,2022-04,,
2017-07,2022-04,,
2017-08,2022-04,,
2017-09,2022-04,,
2017-10,2022-04,,
2017-11,2022-04,,
2017-12,2022-04,,
2018-01,2022-04,,
2018-02,2022-04,,
2018-03,2022-04,3.25,330.0
2018-04,2022-04,4.5,100.0
2018-05,2022-04,3.25,25.0
2018-06,2022-04,,
2018-07,2022-04,,
2018-08,2022-04,,
2018-09,2022-04,,
2018-10,2022-04,,
2018-11,2022-04,,
2018-12,2022-04,,
2019-01,2022-04,,
2019-02,2022-04,,
2019-03,2022-04,,
2019-04,2022-04,3.25,85.72
2019-05,2022-04,4.098043130990416,1252.0
2019-06,2022-04,5.764705882352941,680.0
2019-07,2022-04,5.901867219917013,241.0
2019-08,2022-04,5.99506002910502,1649.2
2019-09,2022-04,5.960061919504644,323.0
2019-10,2022-04,10.497617888239551,1948.99
2019-11,2022-04,7.990261228230982,872.8
2019-12,2022-04,3.85,30.0
2020-01,2022-04,6.837154362416108,149.0
2020-02,2022-04,6.071945130315501,911.25
2020-03,2022-04,6.846857597454256,125.7
2020-04,2022-04,6.14273080142649,1744.14
2020-05,2022-04,,
2020-06,2022-04,6.7675,600.0
2020-07,2022-04,6.642820709002805,196.05
2020-08,2022-04,5.690241980474197,717.0
