period,weighted_avg_price,total_transacted_quantity,total_std_qty,total_tx_qty,avg_std_price,num_trades,lag_1,lag_2,lag_3,lag_4,month,year,target_1,target_2
2014-11,3.1365853414634146,0.0,0.0,0.0,0.0,0.0,3.145528430487805,3.154471519512195,3.1634146085365855,3.1723576975609755,11,2014,3.1276422524390246,3.118699163414634
2014-11,3.1276422524390246,0.0,0.0,0.0,0.0,0.0,3.1365853414634146,3.145528430487805,3.154471519512195,3.1634146085365855,11,2014,3.118699163414634,3.109756074390244
2014-11,3.118699163414634,0.0,0.0,0.0,0.0,0.0,3.1276422524390246,3.1365853414634146,3.145528430487805,3.154471519512195,11,2014,3.109756074390244,3.1008129853658537
2014-11,3.109756074390244,0.0,0.0,0.0,0.0,0.0,3.118699163414634,3.1276422524390246,3.1365853414634146,3.145528430487805,11,2014,3.1008129853658537,3.0918698963414637
2014-11,3.1008129853658537,0.0,0.0,0.0,0.0,0.0,3.109756074390244,3.118699163414634,3.1276422524390246,3.1365853414634146,11,2014,3.0918698963414637,3.0829268073170732
2014-11,3.0918698963414637,0.0,0.0,0.0,0.0,0.0,3.1008129853658537,3.109756074390244,3.118699163414634,3.1276422524390246,11,2014,3.0829268073170732,3.0739837182926832
2014-11,3.0829268073170732,0.0,0.0,0.0,0.0,0.0,3.0918698963414637,3.1008129853658537,3.109756074390244,3.118699163414634,11,2014,3.0739837182926832,3.065040629268293
2014-11,3.0739837182926832,0.0,0.0,0.0,0.0,0.0,3.0829268073170732,3.0918698963414637,3.1008129853658537,3.109756074390244,11,2014,3.065040629268293,3.0560975402439023
2014-11,3.065040629268293,0.0,0.0,0.0,0.0,0.0,3.0739837182926832,3.0829268073170732,3.0918698963414637,3.1008129853658537,11,2014,3.0560975402439023,3.0471544512195123
2014-11,3.0560975402439023,0.0,0.0,0.0,0.0,0.0,3.065040629268293,3.0739837182926832,3.0829268073170732,3.0918698963414637,11,2014,3.0471544512195123,3.038211362195122
2014-11,3.0471544512195123,0.0,0.0,0.0,0.0,0.0,3.0560975402439023,3.065040629268293,3.0739837182926832,3.0829268073170732,11,2014,3.038211362195122,3.029268273170732
2014-11,3.038211362195122,0.0,0.0,0.0,0.0,0.0,3.0471544512195123,3.0560975402439023,3.065040629268293,3.0739837182926832,11,2014,3.029268273170732,3.0203251841463414
2014-11,3.029268273170732,0.0,0.0,0.0,0.0,0.0,3.038211362195122,3.0471544512195123,3.0560975402439023,3.065040629268293,11,2014,3.0203251841463414,3.0113820951219514
2014-11,3.0203251841463414,0.0,0.0,0.0,0.0,0.0,3.029268273170732,3.038211362195122,3.0471544512195123,3.0560975402439023,11,2014,3.0113820951219514,3.002439006097561
